"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.87.1","224.0.0.1","IGMPv3","60","Membership Query, general"
"2","0.004365039","fe80::1eef:3ff:fe0c:795c","ff02::1","ICMPv6","86","Multicast Listener Query"
"3","0.007992290","fe80::a00:27ff:fec2:e641","ff02::fb","ICMPv6","86","Multicast Listener Report"
"4","0.010846310","fe80::a00:27ff:fec2:e641","ff02::1:ffc2:e641","ICMPv6","86","Multicast Listener Report"
"5","0.013841845","fe80::a00:27ff:fe3b:8380","ff02::1:ff3b:8380","ICMPv6","86","Multicast Listener Report"
"6","0.315105238","192.168.87.9","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"7","0.315105363","fe80::7881:93e9:628e:33f9","ff02::1:ff8e:33f9","ICMPv6","86","Multicast Listener Report"
"8","0.315105387","fe80::7881:93e9:628e:33f9","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"9","0.315105419","fe80::7881:93e9:628e:33f9","ff02::c","ICMPv6","86","Multicast Listener Report"
"10","2.315033610","192.168.87.9","224.0.0.22","IGMPv3","60","Membership Report / Join group 239.255.102.18 for any sources"
"11","2.815048750","192.168.87.9","224.0.0.22","IGMPv3","60","Membership Report / Join group 239.255.255.250 for any sources"
"12","5.087305168","192.168.87.19","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"13","6.411881032","192.168.87.1","224.0.0.1","IGMPv3","60","Membership Query, general"
"14","6.814817453","192.168.87.9","224.0.0.22","IGMPv3","60","Membership Report / Join group 239.255.102.18 for any sources"
"15","7.814869787","192.168.87.9","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"16","8.634263649","192.168.87.13","192.168.87.17","TCP","74","44536  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791061 TSecr=0 WS=128"
"17","8.635826272","192.168.87.13","192.168.87.17","TCP","74","44538  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791062 TSecr=0 WS=128"
"18","8.641983270","192.168.87.13","192.168.87.17","TCP","74","44540  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791069 TSecr=0 WS=128"
